shipperId,carrierId,vehicleId,mileageKm,weightKg,volumeM3,goodsName,extraLoadingFee,subsidy,deduction,idempotencyKey
shipper-1,carrier-1,vehicle-1,301,2800,10,manual-import-1-b20260709182659,20,0,0,manual-import-idem-1-b20260709182659
shipper-1,carrier-1,vehicle-3,302,2801,11,manual-import-2-b20260709182659,21,1,1,manual-import-idem-2-b20260709182659
shipper-2,carrier-2,vehicle-1,2,2802,12,manual-import-3-b20260709182659,22,2,2,manual-import-idem-3-b20260709182659
shipper-2,carrier-2,vehicle-2,3,2803,13,manual-import-4-b20260709182659,23,3,3,manual-import-idem-4-b20260709182659
shipper-2,carrier-2,vehicle-3,4,2804,14,manual-import-5-b20260709182659,24,4,4,manual-import-idem-5-b20260709182659
shipper-1,carrier-1,vehicle-1,306,2805,15,manual-import-6-b20260709182659,25,5,5,manual-import-idem-6-b20260709182659
shipper-1,carrier-1,vehicle-3,307,2806,16,manual-import-7-b20260709182659,26,6,6,manual-import-idem-7-b20260709182659
shipper-2,carrier-2,vehicle-1,7,2807,17,manual-import-8-b20260709182659,27,7,7,manual-import-idem-8-b20260709182659
shipper-2,carrier-2,vehicle-2,8,2808,18,manual-import-9-b20260709182659,28,8,8,manual-import-idem-9-b20260709182659
shipper-2,carrier-2,vehicle-3,9,2809,19,manual-import-10-b20260709182659,29,9,9,manual-import-idem-10-b20260709182659
shipper-1,carrier-1,vehicle-1,311,2810,20,manual-import-11-b20260709182659,30,10,0,manual-import-idem-11-b20260709182659
shipper-1,carrier-1,vehicle-3,312,2811,21,manual-import-12-b20260709182659,31,11,1,manual-import-idem-12-b20260709182659
shipper-2,carrier-2,vehicle-1,12,2812,22,manual-import-13-b20260709182659,32,0,2,manual-import-idem-13-b20260709182659
shipper-2,carrier-2,vehicle-2,13,2813,23,manual-import-14-b20260709182659,33,1,3,manual-import-idem-14-b20260709182659
shipper-2,carrier-2,vehicle-3,14,2814,24,manual-import-15-b20260709182659,34,2,4,manual-import-idem-15-b20260709182659
shipper-1,carrier-1,vehicle-1,316,2815,10,manual-import-16-b20260709182659,35,3,5,manual-import-idem-16-b20260709182659
shipper-1,carrier-1,vehicle-3,317,2816,11,manual-import-17-b20260709182659,36,4,6,manual-import-idem-17-b20260709182659
shipper-2,carrier-2,vehicle-1,17,2817,12,manual-import-18-b20260709182659,37,5,7,manual-import-idem-18-b20260709182659
shipper-2,carrier-2,vehicle-2,18,2818,13,manual-import-19-b20260709182659,38,6,8,manual-import-idem-19-b20260709182659
