shipperId,carrierId,vehicleId,mileageKm,weightKg,volumeM3,goodsName,extraLoadingFee,subsidy,deduction,idempotencyKey
shipper-2,carrier-2,vehicle-1,261,2801,10,manual-import-1,21,1,1,manual-import-idem-1
shipper-1,carrier-1,vehicle-2,262,2802,11,manual-import-2,22,2,2,manual-import-idem-2
shipper-2,carrier-2,vehicle-3,263,2803,12,manual-import-3,23,3,3,manual-import-idem-3
shipper-2,carrier-2,vehicle-1,267,2807,16,manual-import-7,27,7,7,manual-import-idem-7
shipper-1,carrier-1,vehicle-2,268,2808,17,manual-import-8,28,8,8,manual-import-idem-8
shipper-2,carrier-2,vehicle-3,269,2809,18,manual-import-9,29,9,9,manual-import-idem-9
shipper-2,carrier-2,vehicle-1,273,2813,22,manual-import-13,33,13,1,manual-import-idem-13
shipper-1,carrier-1,vehicle-2,274,2814,23,manual-import-14,34,14,2,manual-import-idem-14
shipper-2,carrier-2,vehicle-3,275,2815,24,manual-import-15,35,0,3,manual-import-idem-15
shipper-2,carrier-2,vehicle-1,279,2819,10,manual-import-19,39,4,7,manual-import-idem-19
shipper-1,carrier-1,vehicle-2,280,2820,11,manual-import-20,40,5,8,manual-import-idem-20
shipper-2,carrier-2,vehicle-3,281,2821,12,manual-import-21,41,6,9,manual-import-idem-21
shipper-2,carrier-2,vehicle-1,285,2825,16,manual-import-25,45,10,1,manual-import-idem-25
shipper-1,carrier-1,vehicle-2,286,2826,17,manual-import-26,46,11,2,manual-import-idem-26
shipper-2,carrier-2,vehicle-3,287,2827,18,manual-import-27,47,12,3,manual-import-idem-27
shipper-2,carrier-2,vehicle-1,291,2831,22,manual-import-31,51,1,7,manual-import-idem-31
shipper-1,carrier-1,vehicle-2,292,2832,23,manual-import-32,52,2,8,manual-import-idem-32
shipper-2,carrier-2,vehicle-3,293,2833,24,manual-import-33,53,3,9,manual-import-idem-33
shipper-2,carrier-2,vehicle-1,297,2837,10,manual-import-37,57,7,1,manual-import-idem-37
shipper-1,carrier-1,vehicle-2,298,2838,11,manual-import-38,58,8,2,manual-import-idem-38
shipper-2,carrier-2,vehicle-3,299,2839,12,manual-import-39,59,9,3,manual-import-idem-39
